a230324a_s14test,,,,,,,,,,,,,,,,,,,,,,,,,,,,a230316b_s14test,,,,,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL,,,,,,,,,,,,,,,,,,,,,,Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL,,,,
pt,soak,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1,,,,,,,,,,,,,,,,,,,,,,pt,soak,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1,,,,Sat 25/03/2023 0:36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,80,0,23,50,20,23.3,6350,105.8,4.41,Wed 29/03/2023 10:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,80,0,23,70,20,23.3,6430,107.2,4.47,Wed 29/03/2023 11:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,80,0,23,95,20,23.3,6510,108.5,4.52,Wed 29/03/2023 13:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,80,0,23,50,20,23.3,6590,109.8,4.58,Wed 29/03/2023 14:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,300,0,50,50,20,50.3,6890,114.8,4.78,Wed 29/03/2023 19:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,80,0,50,10,20,50.3,6970,116.2,4.84,Wed 29/03/2023 20:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,80,0,50,30,20,50.3,7050,117.5,4.90,Wed 29/03/2023 22:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,80,0,50,50,20,50.3,7130,118.8,4.95,Wed 29/03/2023 23:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,80,0,50,70,20,50.3,7210,120.2,5.01,Thu 30/03/2023 0:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,80,0,50,95,20,50.3,7290,121.5,5.06,Thu 30/03/2023 2:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,80,0,50,50,20,50.3,7370,122.8,5.12,Thu 30/03/2023 3:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,300,0,23,50,20,23.3,7670,127.8,5.33,Thu 30/03/2023 8:26
